cnty,GEOID,w_as_ln,w_ba_ln,w_cd_ln,w_cr_ln,w_cn_ln,w_fl_ln,w_hg_ln,w_no3_ln,w_no2_ln,w_se_ln,w_sb_ln,w_endrin_ln,w_methoxychlor_ln,w_dalapon_ln,w_deha_ln,w_simazine_ln,w_dehp_ln,w_picloram_ln,w_dinoseb_ln,w_atrazine_ln,w_24d_ln,w_benzoap_ln,w_pcp_ln,w_pcb_ln,w_dbcp_ln,w_edb_ln,w_xylenes_ln,w_chlordane_ln,w_dcm_ln,w_pdcb_ln,w_111trichlorane_ln,w_trichlorene_ln,w_c2cl4_ln,w_benzene_ln,w_toluene_ln,w_ethylbenz_ln,w_stryene_ln,w_dce_ln,tot_pop,pop_abv_50y
Harlan,31083,-5.757183,-2.095571,-6.214608,-5.51151,-2.97593,-1.136314,-6.214608,-6.907755,-6.907755,-4.783102,-6.214608,-2.292635,-2.292635,0.693647,-0.6911492,-2.292635,0.693647,0.693647,0.5013812,-1.854699,-2.292635,-2.796881,-1.60445,-6.907755,-3.963316,-0.9088187,-0.6911492,-1.60445,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,3423,1649
Sherman,31163,-6.907755,-6.907755,-6.907755,-6.907755,-2.97593,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.214608,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-3.863233,-0.6911492,-0.6911492,-6.907755,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,3152,1478
Franklin,31061,-5.459661,-2.238203,-6.214608,-4.268698,-2.97593,-1.343235,-6.214608,-6.907755,-6.907755,-3.109274,-6.214608,-2.292635,-2.292635,-6.907755,-0.6911492,-2.292635,0.693647,-6.907755,-6.907755,-1.985041,-6.907755,-2.796881,-6.907755,-6.907755,-3.863233,-0.6911492,-0.6911492,-1.60445,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,3225,1509
Franklin,31061,-5.521460918,-2.120263536,-6.214608098,-4.268697949,-2.975929646,-1.272965676,-6.214608098,-4.605170186,-4.605170186,-3.101092789,-6.214608098,-2.207274913,-2.207274913,-2.525728644,-0.579818495,-1.897119985,0.732367894,-3.218875825,-2.525728644,-1.771956842,-2.407945609,-2.659260037,-4.605170186,-2.813410717,-3.506557897,-0.673344553,-0.510825624,-1.514127733,-0.510825624,-0.653926467,-0.673344553,-0.653926467,-0.673344553,-0.494296322,-0.562118918,-2.995732274,-0.510825624,-0.653926467,3225,1509
Harlan,31083,-5.80914299,-2.040220829,-6.214608098,-5.521460918,-2.975929646,-1.078809661,-6.214608098,-4.605170186,-4.605170186,-4.828313737,-6.214608098,-2.207274913,-2.207274913,0.732367894,-0.579818495,-1.897119985,0.732367894,0.712949808,0.548121409,-1.660731207,-1.660731207,-2.659260037,-1.560647748,-2.813410717,-3.575550769,-0.891598119,-0.510825624,-1.514127733,-0.510825624,-0.653926467,-0.673344553,-0.653926467,-0.673344553,-0.494296322,-0.562118918,-2.995732274,-0.510825624,-0.653926467,3423,1649
Stanton,31167,-6.907755279,-4.605170186,-6.907755279,-6.907755279,-2.975929646,-3.912023005,-6.907755279,-4.605170186,-4.605170186,-6.907755279,-6.214608098,-4.605170186,-4.605170186,-2.525728644,-2.813410717,-2.995732274,-2.525728644,-3.218875825,-2.525728644,-3.506557897,-2.407945609,-4.605170186,-4.605170186,-2.813410717,-3.506557897,-0.673344553,-0.510825624,-3.912023005,-0.510825624,-0.653926467,-0.673344553,-0.653926467,-0.673344553,-0.494296322,-0.562118918,-2.995732274,-0.510825624,-0.653926467,6129,2120
Sherman,31163,-6.907755279,-4.605170186,-6.907755279,-6.907755279,-2.975929646,-3.912023005,-6.907755279,-4.605170186,-4.605170186,-6.907755279,-6.214608098,-4.605170186,-4.605170186,-2.525728644,-2.813410717,-2.995732274,-2.525728644,-3.218875825,-2.525728644,-3.506557897,-2.407945609,-4.605170186,-4.605170186,-2.813410717,-3.506557897,-0.673344553,-0.510825624,-3.912023005,-0.510825624,-0.653926467,-0.673344553,-0.653926467,-0.673344553,-0.494296322,-0.562118918,-2.995732274,-0.510825624,-0.653926467,3152,1478
Stanton,31167,-6.907755,-6.907755,-6.907755,-6.907755,-2.97593,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.214608,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-3.863233,-0.6911492,-0.6911492,-6.907755,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,6129,2120
Gosper,31073,-5.142169,-2.776195,-6.214608,-6.189916,-2.97593,-0.9848373,-6.214608,-6.907755,-6.907755,-5.115996,-6.214608,-2.292635,-2.292635,0.693647,-0.6911492,-2.292635,0.693647,0.9166906,0.693647,-2.513306,-2.292635,-2.796881,-1.60445,-6.907755,-4.009479,-1.094905,-0.7816142,-1.60445,-0.7493649,-0.8187104,-0.8074363,-0.8187104,-0.7707484,-0.8224968,-0.8187104,-0.7816142,-0.8074363,-0.8224968,2044,922
Gosper,31073,-5.11599581,-2.659260037,-6.214608098,-6.214608098,-2.975929646,-0.94160854,-6.214608098,-4.605170186,-4.605170186,-5.11599581,-6.214608098,-2.207274913,-2.207274913,0.732367894,-0.579818495,-1.897119985,0.732367894,0.932164081,0.732367894,-2.207274913,-1.660731207,-2.659260037,-1.560647748,-2.813410717,-3.611918413,-1.078809661,-0.579818495,-1.514127733,-0.562118918,-0.776528789,-0.776528789,-0.776528789,-0.755022584,-0.597837001,-0.673344553,-2.995732274,-0.597837001,-0.776528789,2044,922
Hitchcock,31087,-4.422848629,-2.120263536,-6.214608098,-6.214608098,-6.907755279,0.277631737,-6.214608098,-4.605170186,-4.605170186,-5.11599581,-6.907755279,-2.207274913,-2.207274913,-2.525728644,-0.579818495,-1.897119985,0.732367894,-3.218875825,-2.525728644,-2.207274913,-2.407945609,-2.659260037,-4.605170186,-2.813410717,-3.506557897,-0.673344553,-0.510825624,-1.514127733,-0.510825624,-0.653926467,-0.673344553,-0.653926467,-0.673344553,-0.494296322,-0.562118918,-2.995732274,-0.510825624,-0.653926467,2908,1351
Hitchcock,31087,-4.398156,-2.189256,-6.214608,-6.214608,-6.907755,0.2631332,-6.214608,-6.907755,-6.907755,-5.101107,-6.907755,-2.292635,-2.292635,-6.907755,-0.6911492,-2.292635,0.693647,-6.907755,-6.907755,-2.513306,-6.907755,-2.796881,-6.907755,-6.907755,-3.863233,-0.6911492,-0.6911492,-1.60445,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,2908,1351
Pawnee,31133,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-3.863233,-0.6911492,-0.6911492,-6.907755,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,2773,1357
Pawnee,31133,-6.907755279,-4.605170186,-6.907755279,-6.907755279,-6.907755279,-3.912023005,-6.907755279,-4.605170186,-4.605170186,-6.907755279,-6.907755279,-4.605170186,-4.605170186,-2.525728644,-2.813410717,-2.995732274,-2.525728644,-3.218875825,-2.525728644,-3.506557897,-2.407945609,-4.605170186,-4.605170186,-2.813410717,-3.506557897,-0.673344553,-0.510825624,-3.912023005,-0.510825624,-0.653926467,-0.673344553,-0.653926467,-0.673344553,-0.494296322,-0.562118918,-2.995732274,-0.510825624,-0.653926467,2773,1357
Nance,31125,-4.710530702,-1.897119985,-6.214608098,-5.80914299,-2.975929646,-0.094310679,-6.214608098,-4.605170186,-4.605170186,-3.036554268,-6.214608098,-4.605170186,-4.605170186,-2.525728644,-2.813410717,-2.995732274,-2.525728644,-3.218875825,-2.525728644,-3.506557897,-2.407945609,-4.605170186,-4.605170186,-2.813410717,-3.575550769,-0.84397007,-0.510825624,-3.912023005,-0.510825624,-0.653926467,-0.673344553,-0.653926467,-0.673344553,-0.494296322,-0.562118918,-2.995732274,-0.510825624,-0.653926467,3735,1576
Nance,31125,-4.684213,-1.9951,-6.214608,-5.660723,-2.97593,-0.1186227,-6.214608,-6.907755,-6.907755,-3.047026,-6.214608,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-3.945925,-0.8690891,-0.6911492,-6.907755,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,3735,1576
Thurston,31173,-6.907755279,-4.605170186,-6.907755279,-6.907755279,-2.975929646,-3.912023005,-6.907755279,-4.605170186,-4.605170186,-6.907755279,-6.214608098,-4.605170186,-4.605170186,-2.525728644,-2.813410717,-2.995732274,-2.525728644,-3.218875825,-2.525728644,-3.506557897,-2.407945609,-4.605170186,-4.605170186,-2.813410717,-3.506557897,-0.673344553,-0.510825624,-3.912023005,-0.510825624,-0.653926467,-0.673344553,-0.653926467,-0.673344553,-0.494296322,-0.562118918,-2.995732274,-0.510825624,-0.653926467,6940,1922
Brown,31017,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,3145,1481
Brown,31017,-6.907755279,-4.605170186,-6.907755279,-6.907755279,-6.907755279,-3.912023005,-6.907755279,-4.605170186,-4.605170186,-6.907755279,-6.907755279,-4.605170186,-4.605170186,-2.525728644,-2.813410717,-2.995732274,-2.525728644,-3.218875825,-2.525728644,-3.506557897,-2.407945609,-4.605170186,-4.605170186,-2.813410717,-4.605170186,-4.605170186,-2.302585093,-3.912023005,-2.302585093,-3.912023005,-4.605170186,-3.912023005,-4.605170186,-2.207274913,-2.659260037,-2.995732274,-2.302585093,-3.912023005,3145,1481
Thurston,31173,-6.907755,-6.907755,-6.907755,-6.907755,-2.97593,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.214608,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-3.863233,-0.6911492,-0.6911492,-6.907755,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,6940,1922
Polk,31143,-4.804842,-1.870803,-6.214608,-4.297686,-2.97593,-0.3866434,-6.214608,-6.907755,-6.907755,-3.759302,-6.214608,-2.292635,-2.292635,0.693647,-0.6911492,-2.292635,0.693647,0.9166906,0.693647,-2.513306,-2.292635,-2.796881,-1.60445,-6.907755,-3.863233,-0.7416374,-0.7263593,-1.60445,-0.7140304,-0.7402388,-0.7360547,-0.7402388,-0.7222328,-0.7416374,-0.7402388,-0.7263593,-0.7360547,-0.7416374,5406,2337
Morrill,31123,-4.884884,-2.578339,-6.214608,-6.214608,-2.97593,-0.8891621,-6.214608,-6.907755,-6.907755,-5.115996,-6.214608,-2.292635,-2.292635,-6.907755,-0.6911492,-2.292635,0.693647,-6.907755,-6.907755,-2.513306,-6.907755,-2.796881,-6.907755,-6.907755,-3.863233,-0.6911492,-0.6911492,-1.60445,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,5042,2077
Polk,31143,-4.828313737,-1.832581464,-6.214608098,-4.268697949,-2.975929646,-0.356674944,-6.214608098,-4.605170186,-4.605170186,-3.772261063,-6.214608098,-2.207274913,-2.207274913,0.732367894,-0.579818495,-1.897119985,0.732367894,0.932164081,0.732367894,-2.207274913,-1.660731207,-2.659260037,-1.560647748,-2.813410717,-3.506557897,-0.713349888,-0.544727175,-1.514127733,-0.527632742,-0.693147181,-0.713349888,-0.693147181,-0.713349888,-0.527632742,-0.597837001,-2.995732274,-0.544727175,-0.693147181,5406,2337
Morrill,31123,-4.828313737,-2.525728644,-6.214608098,-6.214608098,-2.975929646,-0.84397007,-6.214608098,-4.605170186,-4.605170186,-5.11599581,-6.214608098,-2.207274913,-2.207274913,-2.525728644,-0.579818495,-1.897119985,0.732367894,-3.218875825,-2.525728644,-2.207274913,-2.407945609,-2.659260037,-4.605170186,-2.813410717,-3.506557897,-0.673344553,-0.510825624,-1.514127733,-0.510825624,-0.653926467,-0.673344553,-0.653926467,-0.673344553,-0.494296322,-0.562118918,-2.995732274,-0.510825624,-0.653926467,5042,2077
Johnson,31097,-5.809143,-2.553614,-6.214608,-5.08482,-2.97593,-0.0905153,-6.214608,-6.907755,-6.907755,-5.115996,-6.214608,-2.292635,-2.292635,0.693647,-0.6911492,-2.292635,0.693647,0.9166906,0.693647,-2.513306,-2.292635,-2.796881,-1.60445,-6.907755,-3.882464,-0.7310567,-0.6911492,-1.60445,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,5217,2035
Cheyenne,31033,-5.11599581,-1.771956842,-6.214608098,-6.214608098,-2.975929646,-0.46203546,-6.214608098,-4.605170186,-4.605170186,-4.96184513,-6.214608098,-2.207274913,-2.207274913,0.732367894,-0.579818495,-1.897119985,0.732367894,0.932164081,0.732367894,-2.207274913,-1.660731207,-2.659260037,-1.560647748,-2.813410717,-3.540459449,-0.733969175,-0.510825624,-1.514127733,-0.510825624,-0.653926467,-0.673344553,-0.653926467,-0.673344553,-0.494296322,-0.562118918,-2.995732274,-0.510825624,-0.653926467,9998,3671
Johnson,31097,-5.80914299,-2.407945609,-6.214608098,-5.11599581,-2.975929646,-0.072570693,-6.214608098,-4.605170186,-4.605170186,-5.11599581,-6.214608098,-2.207274913,-2.207274913,0.732367894,-0.579818495,-1.897119985,0.732367894,0.932164081,0.732367894,-2.207274913,-1.660731207,-2.659260037,-1.560647748,-2.813410717,-3.506557897,-0.713349888,-0.510825624,-1.514127733,-0.510825624,-0.653926467,-0.673344553,-0.653926467,-0.673344553,-0.494296322,-0.562118918,-2.995732274,-0.510825624,-0.653926467,5217,2035
Cheyenne,31033,-5.05111,-1.857258,-6.214608,-6.170591,-2.97593,-0.4981288,-6.214608,-6.907755,-6.907755,-5.030583,-6.214608,-2.292635,-2.292635,0.693647,-0.6911492,-2.292635,0.693647,0.9166906,0.693647,-2.513306,-2.292635,-2.796881,-1.60445,-6.907755,-3.895494,-0.758575,-0.6911492,-1.60445,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,9998,3671
Valley,31175,-5.301322,-2.20682,-6.214608,-6.100164,-2.97593,-1.465338,-6.214608,-6.907755,-6.907755,-4.824571,-6.214608,-2.292635,-2.292635,0.693647,-0.6911492,-2.292635,0.693647,0.9166906,0.693647,-2.23961,-2.292635,-2.796881,-1.60445,-6.907755,-3.945925,-0.8690891,-0.6911492,-1.60445,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,4260,1936
Valley,31175,-5.298317367,-2.120263536,-6.214608098,-6.214608098,-2.975929646,-1.386294361,-6.214608098,-4.605170186,-4.605170186,-4.828313737,-6.214608098,-2.207274913,-2.207274913,0.732367894,-0.579818495,-1.897119985,0.732367894,0.932164081,0.732367894,-1.966112856,-1.660731207,-2.659260037,-1.560647748,-2.813410717,-3.575550769,-0.84397007,-0.510825624,-1.514127733,-0.510825624,-0.653926467,-0.673344553,-0.653926467,-0.673344553,-0.494296322,-0.562118918,-2.995732274,-0.510825624,-0.653926467,4260,1936
Kearney,31099,-6.907755,-6.907755,-6.907755,-6.907755,-2.97593,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.214608,-2.292635,-2.292635,-6.907755,-0.6911492,-2.292635,0.693647,-6.907755,-6.907755,-2.282783,-6.907755,-2.796881,-6.907755,-6.907755,-3.863233,-0.6911492,-0.6911492,-1.60445,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,6489,2633
Kearney,31099,-6.907755279,-4.605170186,-6.907755279,-6.907755279,-2.975929646,-3.912023005,-6.907755279,-4.605170186,-4.605170186,-6.907755279,-6.214608098,-2.207274913,-2.207274913,-2.525728644,-0.579818495,-1.897119985,0.732367894,-3.218875825,-2.525728644,-2.040220829,-2.407945609,-2.659260037,-4.605170186,-2.813410717,-3.506557897,-0.673344553,-0.510825624,-1.514127733,-0.510825624,-0.653926467,-0.673344553,-0.653926467,-0.673344553,-0.494296322,-0.562118918,-2.995732274,-0.510825624,-0.653926467,6489,2633
Nuckolls,31129,-5.617605,-1.101617,-6.214608,-5.742523,-2.97593,-0.2536028,-6.214608,-6.907755,-6.907755,-5.115996,-6.214608,-2.292635,-2.292635,0.693647,-0.6911492,-2.292635,0.693647,0.693647,0.5013812,-2.067513,-2.292635,-2.796881,-1.60445,-6.907755,-3.912023,-0.8794768,-0.7721904,-1.60445,-0.7433884,-0.8051967,-0.7951799,-0.8051967,-0.7624972,-1.211081,-0.8051967,-0.7721904,-0.7951799,-0.808558,4500,2213
Nuckolls,31129,-5.521460918,-1.078809661,-6.214608098,-5.80914299,-2.975929646,-0.235722334,-6.214608098,-4.605170186,-4.605170186,-5.11599581,-6.214608098,-2.207274913,-2.207274913,0.732367894,-0.579818495,-1.897119985,0.732367894,0.712949808,0.548121409,-1.832581464,-1.660731207,-2.659260037,-1.560647748,-2.813410717,-3.540459449,-0.867500568,-0.579818495,-1.514127733,-0.562118918,-0.755022584,-0.776528789,-0.755022584,-0.733969175,-0.891598119,-0.653926467,-2.995732274,-0.597837001,-0.776528789,4500,2213
Wayne,31179,-5.521460918,-2.525728644,-6.214608098,-5.521460918,-2.975929646,-0.510825624,-6.214608098,-4.605170186,-4.605170186,-4.074541935,-6.214608098,-4.605170186,-4.605170186,0.732367894,-2.813410717,-2.995732274,-2.525728644,0.932164081,0.732367894,-3.506557897,-1.660731207,-4.605170186,-1.560647748,-2.813410717,-3.575550769,-0.84397007,-0.510825624,-3.912023005,-0.510825624,-0.653926467,-0.673344553,-0.653926467,-0.673344553,-0.494296322,-0.562118918,-2.995732274,-0.510825624,-0.653926467,9595,2891
Wayne,31179,-5.438442,-2.713377,-6.214608,-5.514609,-2.97593,-0.5404261,-6.214608,-6.907755,-6.907755,-4.049132,-6.214608,-6.907755,-6.907755,0.693647,-6.907755,-6.907755,-6.907755,0.9166906,0.693647,-6.907755,-2.292635,-6.907755,-1.60445,-6.907755,-3.945925,-0.8690891,-0.6911492,-6.907755,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,9595,2891
Pierce,31139,-6.907755,-6.907755,-6.907755,-6.907755,-2.97593,-0.0363183,-6.907755,-6.907755,-6.907755,-6.907755,-6.214608,-2.292635,-2.292635,-6.907755,-0.6911492,-2.292635,0.693647,-6.907755,-6.907755,-2.513306,-6.907755,-2.796881,-6.907755,-6.907755,-3.863233,-0.6911492,-0.6911492,-1.60445,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,7266,2767
Howard,31093,-5.80914299,-1.897119985,-6.214608098,-5.80914299,-2.975929646,-1.078809661,-6.214608098,-4.605170186,-4.605170186,-5.11599581,-6.214608098,-2.207274913,-2.207274913,-2.525728644,-0.579818495,-1.897119985,0.732367894,-3.218875825,-2.525728644,-2.207274913,-2.407945609,-2.659260037,-4.605170186,-2.813410717,-3.540459449,-0.798507696,-0.653926467,-1.514127733,-0.544727175,-0.733969175,-0.733969175,-0.733969175,-0.713349888,-0.562118918,-0.634878272,-2.995732274,-0.562118918,-0.733969175,6274,2506
Pierce,31139,-6.907755279,-4.605170186,-6.907755279,-6.907755279,-2.975929646,-0.020202707,-6.907755279,-4.605170186,-4.605170186,-6.907755279,-6.214608098,-2.207274913,-2.207274913,-2.525728644,-0.579818495,-1.897119985,0.732367894,-3.218875825,-2.525728644,-2.207274913,-2.407945609,-2.659260037,-4.605170186,-2.813410717,-3.506557897,-0.673344553,-0.510825624,-1.514127733,-0.510825624,-0.653926467,-0.673344553,-0.653926467,-0.673344553,-0.494296322,-0.562118918,-2.995732274,-0.510825624,-0.653926467,7266,2767
Howard,31093,-5.782825,-1.931022,-6.214608,-5.914504,-2.97593,-1.136314,-6.214608,-6.907755,-6.907755,-5.115996,-6.214608,-2.292635,-2.292635,-6.907755,-0.6911492,-2.292635,0.693647,-6.907755,-6.907755,-2.513306,-6.907755,-2.796881,-6.907755,-6.907755,-3.895494,-0.8126817,-0.87707,-1.60445,-0.7256704,-0.7657179,-0.759287,-0.7657179,-0.7381445,-0.7678707,-0.7657179,-0.7444405,-0.759287,-0.7678707,6274,2506
Antelope,31003,-6.907755,-6.907755,-6.907755,-6.907755,-2.97593,-0.1554849,-6.907755,-6.907755,-6.907755,-6.907755,-6.214608,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-3.863233,-0.7880074,-0.7582192,-6.907755,-0.7344902,-0.7852625,-0.7770724,-0.7852625,-0.7502468,-0.7880074,-0.7852625,-0.7582192,-0.7770724,-0.7880074,6685,2967
Antelope,31003,-6.907755279,-4.605170186,-6.907755279,-6.907755279,-6.907755279,-3.912023005,-6.907755279,-4.605170186,-4.605170186,-6.907755279,-6.907755279,-4.605170186,-4.605170186,-2.525728644,-2.813410717,-2.995732274,-2.525728644,-3.218875825,-2.525728644,-3.506557897,-2.407945609,-4.605170186,-4.605170186,-2.813410717,-4.605170186,-4.605170186,-2.302585093,-3.912023005,-2.302585093,-3.912023005,-4.605170186,-3.912023005,-4.605170186,-2.207274913,-2.659260037,-2.995732274,-2.302585093,-3.912023005,6685,2967
Webster,31181,-6.907755,-6.907755,-6.907755,-6.907755,-2.97593,-0.0968781,-6.907755,-6.907755,-6.907755,-6.907755,-6.214608,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-3.863233,-0.6911492,-0.6911492,-6.907755,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,3812,1718
Webster,31181,-6.907755279,-4.605170186,-6.907755279,-6.907755279,-2.975929646,-0.072570693,-6.907755279,-4.605170186,-4.605170186,-6.907755279,-6.214608098,-4.605170186,-4.605170186,-2.525728644,-2.813410717,-2.995732274,-2.525728644,-3.218875825,-2.525728644,-3.506557897,-2.407945609,-4.605170186,-4.605170186,-2.813410717,-3.506557897,-0.673344553,-0.510825624,-3.912023005,-0.510825624,-0.653926467,-0.673344553,-0.653926467,-0.673344553,-0.494296322,-0.562118918,-2.995732274,-0.510825624,-0.653926467,3812,1718
Boone,31011,-6.907755,-6.907755,-6.907755,-6.907755,-2.97593,-0.0174853,-6.907755,-6.907755,-6.907755,-6.907755,-6.214608,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-3.863233,-0.6911492,-0.2218943,-6.907755,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,5505,2370
Boone,31011,-6.907755279,-4.605170186,-6.907755279,-6.907755279,-2.975929646,0,-6.907755279,-4.605170186,-4.605170186,-6.907755279,-6.214608098,-4.605170186,-4.605170186,-2.525728644,-2.813410717,-2.995732274,-2.525728644,-3.218875825,-2.525728644,-3.506557897,-2.407945609,-4.605170186,-4.605170186,-2.813410717,-3.506557897,-0.673344553,-0.105360516,-3.912023005,-0.510825624,-0.653926467,-0.673344553,-0.653926467,-0.673344553,-0.494296322,-0.562118918,-2.995732274,-0.510825624,-0.653926467,5505,2370
Burt,31021,-5.805815,-0.7743573,-6.214608,-4.50081,-2.97593,-0.2130164,-6.214608,-6.907755,-6.907755,-5.115996,-6.214608,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-3.903724,-0.9200478,-0.7816142,-6.907755,-0.7493649,-0.8187104,-0.8074363,-0.8187104,-0.7707484,-0.8224968,-0.8187104,-0.7816142,-0.8074363,-0.8224968,6858,3124
Burt,31021,-5.80914299,-0.755022584,-6.214608098,-4.509860006,-2.975929646,-0.186329578,-6.214608098,-4.605170186,-4.605170186,-5.11599581,-6.214608098,-4.605170186,-4.605170186,-2.525728644,-2.813410717,-2.995732274,-2.525728644,-3.218875825,-2.525728644,-3.506557897,-2.407945609,-4.605170186,-4.605170186,-2.813410717,-3.540459449,-0.891598119,-0.579818495,-3.912023005,-0.562118918,-0.776528789,-0.776528789,-0.776528789,-0.755022584,-0.597837001,-0.673344553,-2.995732274,-0.597837001,-0.776528789,6858,3124
Dixon,31051,-6.907755279,-4.605170186,-6.907755279,-6.907755279,-2.975929646,0.076961041,-6.907755279,-4.605170186,-4.605170186,-6.907755279,-6.214608098,-2.207274913,-2.207274913,-2.525728644,-0.579818495,-1.897119985,0.732367894,-3.218875825,-2.525728644,-2.207274913,-2.407945609,-2.659260037,-4.605170186,-2.813410717,-3.506557897,-0.776528789,-0.301105093,-1.514127733,-0.544727175,-0.733969175,-0.755022584,-0.733969175,-0.733969175,-0.579818495,-0.634878272,-2.995732274,-0.579818495,-0.755022584,6000,2393
Dixon,31051,-6.907755,-6.907755,-6.907755,-6.907755,-2.97593,0.0592119,-6.907755,-6.907755,-6.907755,-6.907755,-6.214608,-2.292635,-2.292635,-6.907755,-0.6911492,-2.292635,0.693647,-6.907755,-6.907755,-2.513306,-6.907755,-2.796881,-6.907755,-6.907755,-3.863233,-0.7880074,-0.4466778,-1.60445,-0.7344902,-0.7852625,-0.7770724,-0.7852625,-0.7502468,-0.7880074,-0.7852625,-0.7582192,-0.7770724,-0.7880074,6000,2393
Furnas,31065,-6.907755,-6.907755,-6.907755,-6.907755,-2.97593,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.214608,-2.292635,-2.292635,-6.907755,-0.6911492,-2.292635,0.693647,-6.907755,-6.907755,-2.513306,-6.907755,-2.796881,-6.907755,-6.907755,-3.863233,-0.6911492,-0.6911492,-1.60445,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,4959,2304
